"Orden";"Símbolo";"Nombre";"Numero Atomico";"Grupo";"Periodo";"Tipo";"Subtipo";"Estado";"Valencia";"peso atómico
(uma)";"density g/mL";"Punto Ebullicion";"Punto Fusion";"peso atómico
(uma)";"Cant_Val";"Nombre_ESP";"Oxidos_ESP";"Hidruros_ESP";"Hidroxidos_ESP";"Hidracidos_ESP";"Oxosales_ESP";"Sales_ESP"
1;"H";"Hidrógeno";1;1;1;"No Metal";"Otros No Metales";"Gas";1;"1.007975";"0.0000699";"-252.9";"-259.1";"1.007975";1;"Hidrógeno";"Hidrógeno";"Hidrógeno";"Hidrógeno";"Hidrógeno";"Hidrógeno";"Hidrógeno"
2;"He";"Helio";2;18;1;"Gas Noble";"-";"Gas";0;"4.002602";"0.000179";"-268.9";"-272.2";"4.002602";1;"Helio";"Helio";"Helio";"Helio";"Helio";"Helio";"Helio"
3;"Li";"Litio";3;1;2;"Metal";"Alcalinos";"Sólido";1;"6.9675";543;1342;"180.5";"6.9675";1;"Litio";"Litio";"Litio";"Litio";"Litio";"Litio";"Litio"
4;"Be";"Berilio";4;2;2;"Metal";"Alcalinotérreos";"Sólido";2;"9.0121831";"1.85";2970;1278;"9.0121831";1;"Berilio";"Berilio";"Berilio";"Berilio";"Berilio";"Berilio";"Berilio"
5;"B";"Boro";5;13;2;"Metaloide";"-";"Sólido";3;"10.8135";"2.34";2550;2079;"10.8135";1;"Boro";"Boro";"Boro";"Boro";"Boro";"Boro";"Boruro"
6;"C";"Carbono";6;14;2;"No Metal";"Otros No Metales";"Sólido";"2;4";"12.0106";"2.25";4827;3367;"12.0106";2;"Carbono";"Carbonoso; Carbónico";"Carbonoso; Carbónico";"Carbonoso; Carbónico";"Carbonoso; Carbónico";"Carbonito; Carbonato";"Carbonuro"
7;"N";"Nitrógeno";7;15;2;"No Metal";"Otros No Metales";"Gas";"2;3;4;5";"14.006855";"0.00125";"-195.8";"-209.9";"14.006855";4;"Nitrógeno";"Nitrogenoso; Nítrico";"Nitrogenoso; Nítrico";"Nitrogenoso; Nítrico";"Nitrogenoso; Nítrico";"Nitrito; Nitrato";"Nitruro"
8;"O";"Oxígeno";8;16;2;"No Metal";"Otros No Metales";"Gas";2;"15.9994";"0.00143";-183;"-218.4";"15.9994";1;"Oxígeno";"Oxígeno";"Oxígeno";"Oxígeno";"Oxígeno";"Oxígeno";"Oxígeno"
9;"F";"Flúor";9;17;2;"No Metal";"Halógenos";"Gas";1;"18.998403163";"0.0017";"-188.1";"-219.8";"18.998403163";1;"Flúor";"Flúor";"Flúor";"Flúor";"Flúor";"Flúor";"Fluoruro"
10;"Ne";"Neón";10;18;2;"Gas Noble";"-";"Gas";0;"20.1797";"0.0009";"-248.7";-248;"20.1797";1;"Neón";"Neón";"Neón";"Neón";"Neón";"Neón";"Neón"
11;"Na";"Sodio";11;1;3;"Metal";"Alcalinos";"Sólido";1;"22.98976928";971;883;"97.8";"22.98976928";1;"Sodio";"Sodio";"Sodio";"Sodio";"Sodio";"Sodio";"Sodio"
12;"Mg";"Magnesio";12;2;3;"Metal";"Alcalinotérreos";"Sólido";2;"24.3055";"1.74";1090;649;"24.3055";1;"Magnesio";"Magnesio";"Magnesio";"Magnesio";"Magnesio";"Magnesio";"Magnesio"
13;"Al";"Aluminio";13;13;3;"Metal";"Metales del Bloque p";"Sólido";3;"26.9815385";"2.7";2467;660;"26.9815385";1;"Aluminio";"Aluminio";"Aluminio";"Aluminio";"Aluminio";"Aluminio";"Aluminio"
14;"Si";"Silicio";14;14;3;"Metaloide";"-";"Sólido";4;28085;"2.33";2355;1410;28085;1;"Silicio";"Silicio";"Silicio";"Silicio";"Silicio";"Silicio";"Siliciuro"
15;"P";"Fósforo";15;15;3;"No Metal";"Otros No Metales";"Sólido";"3;4;5";"30.973761998";"1.82";280;"44.1";"30.973761998";3;"Fósforo";"Fosforoso; Fosfórico";"Fosforoso; Fosfórico";"Fosforoso; Fosfórico";"Fosforoso; Fosfórico";"Fosforito; Fosfato";"Fosfuro"
16;"S";"Azufre";16;16;3;"No Metal";"Otros No Metales";"Sólido";"2;4;6";"32.0675";"2.07";"444.7";"112.8";"32.0675";3;"Azufre";"Sulfuroso; Sulfúrico";"Sulfuroso; Sulfúrico";"Sulfuroso; Sulfúrico";"Sulfuroso; Sulfúrico";"Sulfito; Sulfato";"Sulfuro"
17;"Cl";"Cloro";17;17;3;"No Metal";"Halógenos";"Gas";"1;3;5;7";"35.4515";"0.00321";"-34.6";-101;"35.4515";4;"Cloro";"Cloroso; Clórico";"Cloroso; Clórico";"Cloroso; Clórico";"Cloroso; Clórico";"Clorito; Clorato";"Cloruro"
18;"Ar";"Argón";18;18;3;"Gas Noble";"-";"Gas";0;39948;"0.00178";"-185.7";"-189.2";39948;1;"Argón";"Argón";"Argón";"Argón";"Argón";"Argón";"Argón"
19;"K";"Potasio";19;1;4;"Metal";"Alcalinos";"Sólido";1;"39.0983";"0.86";760;"63.25";"39.0983";1;"Potasio";"Potasio";"Potasio";"Potasio";"Potasio";"Potasio";"Potasio"
20;"Ca";"Calcio";20;2;4;"Metal";"Alcalinotérreos";"Sólido";2;40078;"1.55";1484;839;40078;1;"Calcio";"Calcio";"Calcio";"Calcio";"Calcio";"Calcio";"Calcio"
21;"Sc";"Escandio";21;3;4;"Metal";"Metales de Transición";"Sólido";3;"44.955908";"2.99";2832;1541;"44.955908";1;"Escandio";"Escandio";"Escandio";"Escandio";"Escandio";"Escandio";"Escandio"
22;"Ti";"Titanio";22;4;4;"Metal";"Metales de Transición";"Sólido";"3;4";47867;"4.54";3287;1660;47867;2;"Titanio";"Titanioso; Titánico";"Titanioso; Titánico";"Titanioso; Titánico";"Titanioso; Titánico";"Titanioso; Titánico";"Titanioso; Titánico"
23;"V";"Vanadio";23;5;4;"Metal";"Metales de Transición";"Sólido";"2;3;4;5";"50.9415";"6.11";3380;1890;"50.9415";4;"Vanadio";"Vanadioso; Vanádico";"Vanadioso; Vanádico";"Vanadioso; Vanádico";"Vanadioso; Vanádico";"Vanadioso; Vanádico";"Vanadioso; Vanádico"
24;"Cr";"Cromo";24;6;4;"Metal";"Metales de Transición";"Sólido";"2;3;6";"51.9961";"7.19";2672;1857;"51.9961";3;"Cromo";"Cromoso; Crómico";"Cromoso; Crómico";"Cromoso; Crómico";"Cromoso; Crómico";"Cromoso; Crómico";"Cromoso; Crómico"
